Name,"Education_Status (Educated, Dropout, Self-Taught)","Highest_Degree (Bachelor’s, Master’s, PhD, None)",Graduation_Year,University_Name,Field_of_Study,Startup_Founded (Yes/No),Industry,Age_First_Million
Andrew Gotianun,Dropout,None,,No Formal University,None,No,Real Estate,36
Yuri Gushchin,Dropout,None,,No Formal University,None,No,Tech,24
Hua Bangsong,Educated,Bachelor’s,1985.0,No Formal University,Law,Yes,Real Estate,32
Jiang Zhaobai,Educated,Bachelor’s,1998.0,University of Oxford,Engineering,No,Tech,30
Ronald Joyce,Educated,Master’s,1990.0,Stanford University,History,Yes,Retail,40
Liu Zaiwang & family,Educated,Master’s,1984.0,Harvard University,None,No,Media,35
Bruce Nordstrom,Self-Taught,None,,No Formal University,None,Yes,Tech,28
Sjamsul Nursalim,Self-Taught,None,,No Formal University,None,No,Retail,30
Seo Jung-Jin,Dropout,None,,No Formal University,None,Yes,Finance,24
Allan Slaight,Educated,Bachelor’s,2015.0,ETH Zurich,Law,No,Manufacturing,28
Sun Hongbin,Dropout,None,,No Formal University,None,No,Finance,23
Serhiy Tihipko,Educated,PhD,1981.0,No Formal University,Business,Yes,Finance,33
Tu Jianhua,Self-Taught,None,,No Formal University,None,No,Real Estate,39
Lang Walker,Dropout,None,,No Formal University,None,Yes,Telecom,35
Wang Wei,Educated,Master’s,1984.0,No Formal University,Economics,Yes,Tech,45
Alain Bouchard,Dropout,None,,No Formal University,None,Yes,Retail,43
Lam Kong,Self-Taught,None,,No Formal University,None,No,Tech,26
Jeffrey Lorberbaum,Self-Taught,None,,No Formal University,None,Yes,Real Estate,32
Rosa Evangelina Marcondes Penido Dalla Vecchia,Educated,PhD,1986.0,MIT,Computer Science,Yes,Real Estate,26
Albert Shigaboutdinov,Dropout,None,,No Formal University,None,Yes,Tech,28
Rustem Sulteev,Dropout,None,,No Formal University,None,Yes,Real Estate,44
Arkady Volozh,Educated,Bachelor’s,1984.0,Stanford University,Business,Yes,Finance,43
Marcel Adams & family,Educated,Bachelor’s,2012.0,MIT,Economics,No,Retail,38
Len Ainsworth,Self-Taught,None,,No Formal University,None,Yes,Telecom,37
Nezih Barut,Dropout,None,,No Formal University,None,No,Real Estate,35
Jack Dorsey,Educated,PhD,1987.0,University of Tokyo,None,No,Tech,27
"Daniel Harrison, III.",Educated,Bachelor’s,1995.0,University of Tokyo,Engineering,No,Real Estate,31
Huang Zhenda & family,Self-Taught,None,,No Formal University,None,No,Telecom,31
Huo Qinghua,Dropout,None,,No Formal University,None,Yes,Tech,25
Daisy Igel,Educated,Bachelor’s,1986.0,Harvard University,Law,Yes,Telecom,36
Robert Ingham,Educated,PhD,2002.0,MIT,None,No,Finance,29
Mitchell Jacobson,Dropout,None,,No Formal University,None,No,Tech,28
Bent Jensen,Self-Taught,None,,No Formal University,None,Yes,Retail,36
Kim Jun-Ki,Educated,PhD,2005.0,No Formal University,History,No,Tech,33
Lee Man Tat,Dropout,None,,No Formal University,None,No,Retail,43
Lim Hariyanto Wijaya Sarwono,Educated,PhD,2010.0,University of Oxford,History,Yes,Tech,35
Alexander Lutsenko & family,Educated,Bachelor’s,2010.0,MIT,None,No,Retail,27
Edir Macedo,Self-Taught,None,,No Formal University,None,No,Finance,39
Guilherme Paulus,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,42
"Nicholas Pritzker, II.",Educated,Bachelor’s,1996.0,University of Oxford,Engineering,No,Telecom,27
Alberto Roemmers,Educated,Bachelor’s,1970.0,University of Oxford,Engineering,Yes,Telecom,26
Vladimir Scherbakov,Educated,Master’s,2010.0,University of Oxford,None,No,Media,39
Airat Shaimiev,Educated,Bachelor’s,1965.0,Harvard University,Economics,No,Tech,42
Radik Shaimiev,Dropout,None,,No Formal University,None,Yes,Tech,41
Sheng Baijiao,Dropout,None,,No Formal University,None,Yes,Manufacturing,34
Edward Stack,Educated,Master’s,1989.0,ETH Zurich,History,No,Finance,29
Dorothea Steinbruch,Dropout,None,,No Formal University,None,Yes,Retail,28
Wichai Thongtang,Educated,Bachelor’s,2009.0,No Formal University,None,No,Media,30
Hamdi Ulukaya,Dropout,None,,No Formal University,None,No,Tech,26
Ye Cheng,Dropout,None,,No Formal University,None,Yes,Tech,36
Mori Arkin,Self-Taught,None,,No Formal University,None,Yes,Tech,26
Zadik Bino,Educated,PhD,1965.0,Harvard University,Law,No,Media,28
Cui Zhixiang,Educated,Bachelor’s,1961.0,University of Oxford,Economics,No,Telecom,24
Seth Klarman,Educated,Bachelor’s,1980.0,ETH Zurich,Law,Yes,Finance,31
Wang Jinshu,Educated,Bachelor’s,1996.0,ETH Zurich,Computer Science,Yes,Tech,32
Wang Junmin,Self-Taught,None,,No Formal University,None,No,Manufacturing,41
Soegiarto Adikoesoemo,Educated,Bachelor’s,2007.0,MIT,Economics,Yes,Manufacturing,22
Joy Alukkas,Educated,Master’s,2008.0,Stanford University,Engineering,No,Tech,28
Patricia Angelini Rossi,Educated,Bachelor’s,1965.0,ETH Zurich,History,Yes,Retail,30
Carol Jenkins Barnett,Educated,PhD,1982.0,ETH Zurich,Computer Science,No,Real Estate,45
Christopher Burch,Self-Taught,None,,No Formal University,None,No,Manufacturing,34
Tory Burch,Self-Taught,None,,No Formal University,None,No,Finance,28
Cao Kejian,Dropout,None,,No Formal University,None,No,Real Estate,25
Binod Chaudhary & family,Educated,Master’s,1979.0,Stanford University,None,Yes,Telecom,37
Chen Jinshi & family,Educated,Bachelor’s,1998.0,ETH Zurich,Business,No,Manufacturing,25
Chen Lip Keong,Dropout,None,,No Formal University,None,No,Finance,40
Chen Miaolin,Educated,PhD,2012.0,Harvard University,Law,Yes,Tech,38
Pollyanna Chu,Educated,Bachelor’s,1998.0,No Formal University,History,No,Real Estate,22
Claude Dauphin,Educated,PhD,1987.0,No Formal University,Engineering,No,Finance,24
Gary Fegel,Educated,Bachelor’s,1969.0,No Formal University,Business,Yes,Tech,32
David William Grainger,Dropout,None,,No Formal University,None,No,Finance,36
Santosa Handojo,Educated,Bachelor’s,1974.0,University of Tokyo,Economics,No,Retail,41
Gerry Harvey,Educated,Bachelor’s,1995.0,MIT,History,Yes,Manufacturing,42
Asok Kumar Hiranandani,Educated,Master’s,1980.0,No Formal University,Business,Yes,Finance,23
Huang Bingwen,Self-Taught,None,,No Formal University,None,No,Tech,30
T.S. Kalyanaraman,Educated,Bachelor’s,1970.0,University of Tokyo,Business,No,Finance,40
Ryan Kavanaugh,Educated,Bachelor’s,2010.0,No Formal University,Computer Science,Yes,Real Estate,31
Saban Cemil Kazanci,Educated,PhD,1962.0,University of Tokyo,Computer Science,Yes,Retail,42
Karel Komarek,Educated,Bachelor’s,2013.0,No Formal University,Law,No,Retail,32
Koo Bon-Sik,Dropout,None,,No Formal University,None,No,Tech,39
Lee Joong-Keun,Dropout,None,,No Formal University,None,No,Manufacturing,23
Liu Xuejing & family,Educated,Master’s,1989.0,University of Oxford,None,Yes,Media,33
Monique Louis-Dreyfus,Self-Taught,None,,No Formal University,None,Yes,Tech,29
Marie-Jeanne Meyer,Educated,Bachelor’s,1966.0,MIT,None,No,Finance,27
Nirav Modi,Educated,Master’s,2011.0,MIT,None,Yes,Telecom,23
Marcos Antonio Molina dos Santos,Educated,Master’s,1967.0,Harvard University,Business,Yes,Retail,32
"William Moncrief, Jr.",Dropout,None,,No Formal University,None,No,Retail,44
Yoshiko Mori,Educated,Bachelor’s,1989.0,Harvard University,Engineering,No,Media,26
Park Hyeon-Joo,Dropout,None,,No Formal University,None,No,Telecom,36
Stephen Saad,Dropout,None,,No Formal University,None,Yes,Manufacturing,37
Dilek Sabanci,Dropout,None,,No Formal University,None,No,Retail,45
Sevil Sabanci Sabanci,Educated,Bachelor’s,2009.0,MIT,History,Yes,Retail,39
Harjo Sutanto,Self-Taught,None,,No Formal University,None,Yes,Telecom,42
Alexander Tedja,Dropout,None,,No Formal University,None,Yes,Telecom,24
Jim Thompson,Educated,Bachelor’s,1973.0,Harvard University,History,Yes,Real Estate,34
Max Turnauer,Educated,Bachelor’s,1973.0,No Formal University,Computer Science,No,Media,31
John Van Lieshout,Dropout,None,,No Formal University,None,Yes,Media,38
Jitendra Virwani,Educated,Bachelor’s,1983.0,University of Oxford,Law,Yes,Media,34
Wang Jianyi,Educated,Bachelor’s,1970.0,ETH Zurich,Business,Yes,Finance,36
Wang Yiting,Self-Taught,None,,No Formal University,None,Yes,Finance,22
Wen Jianping,Self-Taught,None,,No Formal University,None,Yes,Retail,22
Charles Zegar,Educated,Master’s,1982.0,MIT,Economics,Yes,Retail,35
Gina Rinehart,Educated,Bachelor’s,1987.0,University of Tokyo,Business,Yes,Real Estate,30
Alejandro Santo Domingo,Educated,Bachelor’s,1984.0,ETH Zurich,Law,Yes,Retail,28
Li Hejun,Educated,Master’s,1993.0,University of Tokyo,Law,No,Tech,43
Hinduja family,Educated,Bachelor’s,1967.0,Stanford University,Economics,Yes,Tech,40
Carrie Perrodo & family,Educated,Bachelor’s,1966.0,MIT,Engineering,No,Real Estate,34
Alain Wertheimer,Educated,Master’s,2004.0,MIT,Law,Yes,Finance,28
Hasso Plattner & family,Educated,Bachelor’s,1998.0,MIT,History,Yes,Tech,27
Pierre Castel & family,Educated,Master’s,1990.0,ETH Zurich,Business,Yes,Finance,32
Jacques Servier,Dropout,None,,No Formal University,None,Yes,Finance,32
Klaus Tschira & family,Self-Taught,None,,No Formal University,None,Yes,Tech,43
Dietmar Hopp & family,Educated,Bachelor’s,1971.0,MIT,Economics,Yes,Telecom,22
Jan Koum,Educated,PhD,1997.0,Harvard University,Law,Yes,Real Estate,25
Patrick Drahi,Educated,Bachelor’s,2003.0,MIT,None,Yes,Manufacturing,38
Sandra Ortega Mera,Educated,Bachelor’s,1966.0,Harvard University,Business,No,Real Estate,37
Jeffery Hildebrand,Dropout,None,,No Formal University,None,No,Telecom,37
Arthur Irving,Educated,Bachelor’s,2012.0,MIT,Business,No,Manufacturing,43
Kwee family,Self-Taught,None,,No Formal University,None,No,Tech,30
Jacqueline Desmarais & family,Dropout,None,,No Formal University,None,Yes,Finance,35
Antonio Del Valle Ruiz & family,Self-Taught,None,,No Formal University,None,Yes,Retail,37
Walter Kwok,Educated,Master’s,2004.0,University of Oxford,Business,Yes,Telecom,24
Frederik Paulsen,Educated,PhD,2000.0,Harvard University,Business,No,Manufacturing,27
Dan Olsson,Educated,Master’s,1981.0,University of Oxford,Computer Science,No,Retail,31
Malcolm Glazer,Educated,Master’s,2004.0,MIT,None,Yes,Real Estate,36
Wang Wenyin,Educated,Master’s,1982.0,MIT,Economics,Yes,Real Estate,43
Curt Engelhorn & family,Educated,Master’s,1993.0,MIT,Computer Science,Yes,Retail,37
Erich Kellerhals,Educated,Master’s,1960.0,University of Oxford,Economics,Yes,Retail,40
John Morris,Educated,Bachelor’s,1960.0,University of Oxford,Business,Yes,Tech,30
"John Gokongwei, Jr.",Educated,PhD,2010.0,No Formal University,Computer Science,Yes,Tech,44
Odd Reitan,Educated,PhD,1972.0,University of Oxford,Computer Science,Yes,Retail,29
Mark Shoen,Educated,PhD,1975.0,No Formal University,History,No,Real Estate,34
Andreas von Bechtolsheim & family,Self-Taught,None,,No Formal University,None,Yes,Retail,31
Michael Stoschek & family,Educated,Bachelor’s,1987.0,ETH Zurich,Business,Yes,Telecom,28
Joseph Tsai,Educated,Bachelor’s,1972.0,MIT,Business,Yes,Retail,40
Michael Platt,Self-Taught,None,,No Formal University,None,No,Manufacturing,27
Maria-Elisabeth Schaeffler,Educated,PhD,1987.0,Harvard University,Engineering,No,Telecom,32
George Bishop,Educated,Master’s,1982.0,University of Oxford,Business,No,Real Estate,35
Rosa Anna Magno Garavoglia & family,Self-Taught,None,,No Formal University,None,No,Tech,39
Marian Ilitch,Educated,Master’s,1965.0,No Formal University,Engineering,No,Media,29
"H. Ross Perot, Sr.",Educated,Bachelor’s,1999.0,University of Tokyo,Computer Science,No,Tech,34
Evan Williams,Educated,Master’s,1989.0,No Formal University,None,No,Media,23
Tamara Gustavson & family,Educated,Bachelor’s,2001.0,Harvard University,Business,Yes,Media,31
Wolfgang Marguerre,Educated,Master’s,2015.0,Harvard University,Economics,Yes,Telecom,28
Jean Pierre Cayard,Educated,Master’s,1991.0,Stanford University,Engineering,Yes,Retail,42
Fu Liquan,Educated,PhD,1960.0,No Formal University,Law,Yes,Tech,24
Wolfgang Reimann,Educated,Master’s,1967.0,University of Tokyo,Economics,Yes,Finance,25
Matthias Reimann-Andersen,Educated,PhD,1988.0,University of Oxford,Economics,Yes,Retail,34
Stefan Reimann-Andersen,Educated,Bachelor’s,1975.0,No Formal University,None,No,Media,41
Renate Reimann-Haas,Dropout,None,,No Formal University,None,Yes,Real Estate,26
Issad Rebrab & family,Dropout,None,,No Formal University,None,Yes,Finance,45
Antonio Ermirio de Moraes,Dropout,None,,No Formal University,None,Yes,Manufacturing,45
Ermirio Pereira de Moraes,Dropout,None,,No Formal University,None,Yes,Real Estate,37
Maria Helena Moraes Scripilliti,Educated,Master’s,1997.0,University of Oxford,Business,No,Real Estate,34
Hans Peter Wild,Dropout,None,,No Formal University,None,Yes,Real Estate,35
Brian Acton,Self-Taught,None,,No Formal University,None,Yes,Tech,31
Lawrence Ho,Educated,Master’s,1960.0,University of Tokyo,Business,Yes,Telecom,42
Michel Leclercq & family,Self-Taught,None,,No Formal University,None,No,Tech,33
Samuel Tak Lee,Self-Taught,None,,No Formal University,None,No,Telecom,36
Anthony Pratt,Educated,PhD,1982.0,University of Tokyo,None,Yes,Retail,44
Harry Stine,Educated,Master’s,1971.0,ETH Zurich,Engineering,No,Telecom,45
Rahel Blocher,Educated,Bachelor’s,2014.0,No Formal University,Engineering,No,Media,43
Herbert Louis,Educated,Bachelor’s,2013.0,ETH Zurich,Law,No,Real Estate,41
Josephine Louis & family,Dropout,None,,No Formal University,None,No,Finance,44
Magdalena Martullo-Blocher,Educated,PhD,1982.0,University of Tokyo,Computer Science,No,Tech,23
W. Herbert Hunt,Educated,Master’s,1974.0,Harvard University,History,Yes,Real Estate,43
Leandro Rizzuto & family,Educated,Master’s,2009.0,No Formal University,History,Yes,Tech,27
Yang Kai,Dropout,None,,No Formal University,None,No,Media,35
Dagmar Dolby & family,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,30
Johan Johannson,Educated,PhD,1964.0,University of Oxford,None,No,Manufacturing,42
Miguel Krigsner,Self-Taught,None,,No Formal University,None,Yes,Retail,25
Liu Qiangdong,Dropout,None,,No Formal University,None,No,Finance,42
Jeff Sutton,Educated,Bachelor’s,1976.0,University of Oxford,Law,No,Finance,28
Reinhold Schmieding,Dropout,None,,No Formal University,None,No,Media,38
Torbjorn Tornqvist,Self-Taught,None,,No Formal University,None,Yes,Tech,40
Folorunsho Alakija,Educated,PhD,1966.0,Stanford University,Economics,Yes,Tech,33
Bernd Freier,Dropout,None,,No Formal University,None,Yes,Retail,27
Dan Friedkin,Dropout,None,,No Formal University,None,No,Finance,28
Stefan Olsson,Educated,Bachelor’s,1982.0,MIT,Computer Science,Yes,Media,24
Madeleine Olsson Ericksson,Educated,Master’s,2015.0,Harvard University,Computer Science,Yes,Finance,38
Pang Kang,Educated,Bachelor’s,1974.0,Harvard University,Computer Science,No,Tech,29
Mochtar Riady & family,Self-Taught,None,,No Formal University,None,No,Media,30
Francisco Jose Riberas Mera,Educated,Bachelor’s,2015.0,No Formal University,Engineering,No,Tech,39
Juan Maria Riberas Mera,Educated,PhD,1999.0,University of Tokyo,Business,No,Manufacturing,23
Kwek Leng Beng,Educated,PhD,1997.0,University of Oxford,Business,Yes,Tech,32
Louis Le Duff,Educated,Bachelor’s,2008.0,Harvard University,Engineering,Yes,Manufacturing,45
Bernardo Caprotti,Educated,Master’s,1963.0,Stanford University,Law,Yes,Media,40
James France,Self-Taught,None,,No Formal University,None,Yes,Retail,24
Jia Yueting,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,37
Julio Ponce Lerou,Self-Taught,None,,No Formal University,None,No,Telecom,23
Wang Changtian,Educated,Bachelor’s,1974.0,ETH Zurich,Business,No,Real Estate,31
Xue Xiangdong & family,Dropout,None,,No Formal University,None,Yes,Tech,23
Naruatsu Baba,Educated,Master’s,1972.0,University of Tokyo,Computer Science,No,Telecom,43
Rossana Camargo de Arruda Botelho,Dropout,None,,No Formal University,None,No,Tech,34
Giuseppe De'Longhi,Dropout,None,,No Formal University,None,Yes,Real Estate,44
Manuel Lao Hernandez,Educated,Bachelor’s,1988.0,Harvard University,Computer Science,No,Retail,28
Renata de Camargo Nascimento,Educated,PhD,1975.0,Stanford University,Economics,Yes,Finance,35
Regina de Camargo Pires Oliveira Dias,Dropout,None,,No Formal University,None,Yes,Media,22
Goh Cheng Liang,Self-Taught,None,,No Formal University,None,Yes,Media,23
Raj Kumar & Kishin RK,Educated,Bachelor’s,1971.0,MIT,Economics,No,Retail,41
David Penaloza Sandoval,Dropout,None,,No Formal University,None,Yes,Retail,26
Mary & Douglas Perkins,Dropout,None,,No Formal University,None,No,Telecom,25
Reinfried Pohl,Dropout,None,,No Formal University,None,Yes,Retail,39
Taizo Son,Educated,Master’s,2012.0,MIT,None,Yes,Real Estate,44
Zhou Hongyi,Educated,Bachelor’s,1995.0,MIT,None,Yes,Manufacturing,30
Cai Dongqing,Educated,Master’s,1966.0,Harvard University,Business,No,Telecom,41
John Farber,Educated,Bachelor’s,1968.0,No Formal University,Computer Science,Yes,Retail,45
Fiona Geminder,Educated,Bachelor’s,2006.0,No Formal University,None,Yes,Tech,29
Bachtiar Karim & family,Dropout,None,,No Formal University,None,No,Tech,22
Catherine Lozick,Educated,Bachelor’s,1977.0,University of Tokyo,Law,No,Media,24
Erwin Franz Mueller,Educated,PhD,1984.0,University of Oxford,Economics,No,Real Estate,36
Heloise Waislitz,Educated,Bachelor’s,1971.0,ETH Zurich,Law,Yes,Telecom,31
Matt & Dan Walsh,Educated,Master’s,1961.0,University of Tokyo,None,No,Media,30
Fritz Draexlmaier,Self-Taught,None,,No Formal University,None,Yes,Media,22
Fu Meicheng & family,Educated,PhD,1987.0,No Formal University,Law,Yes,Media,25
John Kapoor,Educated,PhD,2003.0,MIT,None,No,Real Estate,40
Michael Klein,Dropout,None,,No Formal University,None,No,Finance,34
Mo Tianquan,Educated,PhD,1975.0,Stanford University,Economics,No,Media,43
Daniel Roullier & family,Self-Taught,None,,No Formal University,None,Yes,Finance,39
Ian Wood & family,Educated,Master’s,1962.0,University of Tokyo,Business,No,Retail,43
Elisabeth Badinter & family,Educated,Master’s,2009.0,University of Tokyo,Economics,Yes,Retail,40
Jaime Botin,Dropout,None,,No Formal University,None,No,Media,27
David Chow,Educated,Bachelor’s,1960.0,University of Oxford,Economics,No,Real Estate,42
Kenneth Feld & family,Self-Taught,None,,No Formal University,None,Yes,Real Estate,23
Polys Haji-Ioannou,Educated,Bachelor’s,1999.0,University of Tokyo,Business,Yes,Real Estate,27
Lutz Mario Helmig,Educated,Master’s,1976.0,No Formal University,Law,Yes,Finance,42
Guenther Lehmann,Educated,PhD,2001.0,Harvard University,Engineering,Yes,Telecom,23
Thomas Meyer,Educated,Master’s,1988.0,University of Tokyo,Business,Yes,Manufacturing,44
"H. Ross Perot, Jr.",Educated,PhD,1976.0,MIT,Economics,No,Manufacturing,44
Ravi Pillai,Educated,Bachelor’s,1966.0,Harvard University,Computer Science,No,Tech,38
Jennifer Pritzker,Educated,Bachelor’s,1996.0,MIT,None,No,Tech,42
Sunny Varkey,Educated,Bachelor’s,1961.0,MIT,Computer Science,No,Retail,35
Ronald Wanek,Self-Taught,None,,No Formal University,None,No,Real Estate,31
